ts,arm,family,template,item_id,rep,temperature,n_attempts,n_conv_attempts,lat_total_ms,conv_lat_ms,score,gate_pass,f0_ok,v_in,v_out,f_tok,r_in,r_out,k_in,k_out,k_rin,k_rout,f_conv_tok,f_exec_tok,doc_valid,kerr_flag,conv_errors,detail,final_error,transport_fail,raw_path,rerun
2026-08-25T20:10:16,JSON,EX,EX-01,EX-01-00,0,0.7,1,0,21658,0,0.7857,False,True,264,1145,389,0,0,0,0,0,0,0,389,True,False,,"{""a1_owner"": true, ""a1_action"": true, ""a1_deadline"": true, ""a1_priority"": true, ""a2_owner"": true, ""a2_action"": true, ""a2_constraint"": false, ""a3_owner"": true, ""a3_action"": true, ""a3_deadline"": false, ""a3_priority"": true, ""guard_target"": true, ""guard_condition"": true, ""guard_type"": false}",,False,experiments/results/E1/raw_outputs/JSON/EX/EX-01-00_r0.json,0
2026-08-25T20:10:26,JSON,EX,EX-01,EX-01-00,1,0.7,1,0,16080,0,0.7857,False,True,264,812,389,0,0,0,0,0,0,0,389,True,False,,"{""a1_owner"": true, ""a1_action"": true, ""a1_deadline"": true, ""a1_priority"": true, ""a2_owner"": true, ""a2_action"": true, ""a2_constraint"": false, ""a3_owner"": true, ""a3_action"": true, ""a3_deadline"": false, ""a3_priority"": true, ""guard_target"": true, ""guard_condition"": true, ""guard_type"": false}",,False,experiments/results/E1/raw_outputs/JSON/EX/EX-01-00_r1.json,0
2026-08-25T20:10:48,JSON,EX,EX-01,EX-01-00,2,0.7,1,0,22105,0,0.7143,False,True,264,950,389,0,0,0,0,0,0,0,389,True,False,,"{""a1_owner"": true, ""a1_action"": true, ""a1_deadline"": true, ""a1_priority"": true, ""a2_owner"": true, ""a2_action"": true, ""a2_constraint"": false, ""a3_owner"": true, ""a3_action"": false, ""a3_deadline"": false, ""a3_priority"": true, ""guard_target"": true, ""guard_condition"": true, ""guard_type"": false}",,False,experiments/results/E1/raw_outputs/JSON/EX/EX-01-00_r2.json,0
2026-08-25T20:12:30,CSIR-SIR,EX,EX-01,EX-01-00,0,0.7,5,3,21885,116665,0.1429,False,True,225,259,295,540,630,1649,2048,3354,4096,1368,295,False,True,json:no JSON object found,"{""a1_owner"": false, ""a1_action"": false, ""a1_deadline"": false, ""a1_priority"": true, ""a2_owner"": true, ""a2_action"": false, ""a2_constraint"": false, ""a3_owner"": false, ""a3_action"": false, ""a3_deadline"": false, ""a3_priority"": false, ""guard_target"": false, ""guard_condition"": false, ""guard_type"": false}",,False,experiments/results/E1/raw_outputs/CSIR-SIR/EX/EX-01-00_r0.json,0
2026-08-25T20:12:40,CSIR-SIR,EX,EX-01,EX-01-00,2,0.7,5,3,17150,104617,0.1429,False,True,225,194,295,540,477,1649,2048,3354,4096,1368,295,False,True,json:no JSON object found,"{""a1_owner"": false, ""a1_action"": false, ""a1_deadline"": false, ""a1_priority"": true, ""a2_owner"": true, ""a2_action"": false, ""a2_constraint"": false, ""a3_owner"": false, ""a3_action"": false, ""a3_deadline"": false, ""a3_priority"": false, ""guard_target"": false, ""guard_condition"": false, ""guard_type"": false}",,False,experiments/results/E1/raw_outputs/CSIR-SIR/EX/EX-01-00_r2.json,0
2026-08-25T20:12:49,JSON,EX,EX-01,EX-01-01,0,0.7,1,0,19291,0,0.7857,False,True,263,825,389,0,0,0,0,0,0,0,389,True,False,,"{""a1_owner"": true, ""a1_action"": true, ""a1_deadline"": true, ""a1_priority"": true, ""a2_owner"": true, ""a2_action"": true, ""a2_constraint"": false, ""a3_owner"": true, ""a3_action"": true, ""a3_deadline"": false, ""a3_priority"": true, ""guard_target"": true, ""guard_condition"": true, ""guard_type"": false}",,False,experiments/results/E1/raw_outputs/JSON/EX/EX-01-01_r0.json,0
2026-08-25T20:13:25,CSIR-SIR,EX,EX-01,EX-01-00,1,0.7,5,3,23943,126126,0.1429,False,True,225,388,295,540,437,1649,2048,3354,4096,1368,295,False,True,json:no JSON object found,"{""a1_owner"": false, ""a1_action"": false, ""a1_deadline"": false, ""a1_priority"": true, ""a2_owner"": true, ""a2_action"": false, ""a2_constraint"": false, ""a3_owner"": false, ""a3_action"": false, ""a3_deadline"": false, ""a3_priority"": false, ""guard_target"": false, ""guard_condition"": false, ""guard_type"": false}",,False,experiments/results/E1/raw_outputs/CSIR-SIR/EX/EX-01-00_r1.json,0
2026-08-25T20:13:35,JSON,EX,EX-01,EX-01-01,1,0.7,1,0,24684,0,0.7143,False,True,263,634,389,0,0,0,0,0,0,0,389,True,False,,"{""a1_owner"": true, ""a1_action"": true, ""a1_deadline"": true, ""a1_priority"": true, ""a2_owner"": true, ""a2_action"": true, ""a2_constraint"": false, ""a3_owner"": true, ""a3_action"": false, ""a3_deadline"": false, ""a3_priority"": true, ""guard_target"": true, ""guard_condition"": true, ""guard_type"": false}",,False,experiments/results/E1/raw_outputs/JSON/EX/EX-01-01_r1.json,0
2026-08-25T20:13:36,CSIR-SIR,EX,EX-01,EX-01-01,0,0.7,5,3,20247,125921,0.1429,False,True,225,551,295,540,368,1648,2048,3352,4096,1368,295,False,True,json:no JSON object found,"{""a1_owner"": false, ""a1_action"": false, ""a1_deadline"": false, ""a1_priority"": true, ""a2_owner"": true, ""a2_action"": false, ""a2_constraint"": false, ""a3_owner"": false, ""a3_action"": false, ""a3_deadline"": false, ""a3_priority"": false, ""guard_target"": false, ""guard_condition"": false, ""guard_type"": false}",,False,experiments/results/E1/raw_outputs/CSIR-SIR/EX/EX-01-01_r0.json,0
2026-08-25T20:14:12,JSON,EX,EX-01,EX-01-01,2,0.7,1,0,16125,0,0.7857,False,True,263,759,389,0,0,0,0,0,0,0,389,True,False,,"{""a1_owner"": true, ""a1_action"": true, ""a1_deadline"": true, ""a1_priority"": true, ""a2_owner"": true, ""a2_action"": true, ""a2_constraint"": false, ""a3_owner"": true, ""a3_action"": true, ""a3_deadline"": false, ""a3_priority"": true, ""guard_target"": true, ""guard_condition"": true, ""guard_type"": false}",,False,experiments/results/E1/raw_outputs/JSON/EX/EX-01-01_r2.json,0
2026-08-25T21:15:14,JSON,EX,EX-02,EX-02-00,0,0.7,1,0,24752,0,0.6154,False,True,316,854,389,0,0,0,0,0,0,0,389,True,False,,"{""incident_id"": true, ""service"": true, ""symptom"": true, ""t_open"": false, ""blast_region"": true, ""blast_share"": false, ""rollback_deploy_id"": true, ""rollback_time"": false, ""suspected_cause"": true, ""status_page_time"": false, ""enterprise_email_required"": true, ""exception_company"": true, ""exception_notify"": false}",,False,experiments/results/E1/raw_outputs/JSON/EX/EX-02-00_r0.json,0
